ARBITRARY GROUP,Alloy No.,Al,Co,Cr,Cu,Fe,Ni,"Hardness, HV"
1,1.0,18.2,9.1,18.2,18.2,18.2,18.2,473.0
1,2.0,18.2,18.2,9.1,18.2,18.2,18.2,367.0
1,3.0,18.2,18.2,18.2,18.2,9.1,18.2,418.0
1,4.0,18.2,18.2,18.2,18.2,18.2,9.1,423.0
1,5.0,5.3,21.1,21.1,0,26.3,26.3,168.0
1,6.0,12.5,12.5,12.5,0,12.5,50,225.0
1,7.0,0,0,25,25,25,25,143.0
1,8.0,0,5,23.8,23.8,23.8,23.8,146.0
1,9.0,0,10,22.5,22.5,22.5,22.5,150.0
1,10.0,0,15,21.3,21.3,21.3,21.3,158.0
1,11.0,0,33.3,16.7,16.7,16.7,16.7,175.0
1,12.0,0,25,0,25,25,25,154.0
1,13.0,0,23.8,5,23.8,23.8,23.8,153.0
1,14.0,0,22.5,10,22.5,22.5,22.5,158.0
1,15.0,0,21.3,15,21.3,21.3,21.3,161.0
1,16.0,0,16.7,33.3,16.7,16.7,16.7,172.0
1,17.0,0,25,25,25,0,25,183.0
1,18.0,0,23.8,23.8,23.8,5,23.8,182.0
1,19.0,0,22.5,22.5,22.5,10,22.5,172.0
1,20.0,0,21.3,21.3,21.3,15,21.3,171.0
1,21.0,0,16.7,16.7,16.7,33.3,16.7,157.0
1,22.0,0,22.5,22.5,22.5,22.5,10,170.0
1,23.0,0,21.3,21.3,21.3,21.3,15,167.0
1,24.0,0,16.7,16.7,16.7,16.7,33.3,158.0
1,25.0,0,26.7,26.7,0,26.7,20,140.0
1,26.0,0,20,20,0,20,40,125.0
1,27.0,14.3,14.3,14.3,0,14.3,42.9,242.0
1,28.0,15.4,15.4,15.4,0,15.4,38.5,265.0
1,29.0,16.7,16.7,16.7,0,16.7,33.3,335.0
1,30.0,0,28.3,28.3,0,28.3,15,170.0
1,31.0,5,31.7,31.7,0,31.7,0,475.0
1,32.0,10,30,30,0,30,0,620.0
1,33.0,18.2,18.2,18.2,0,18.2,27.3,503.0
1,34.0,21.3,21.3,21.3,0,21.3,15,555.0
1,35.0,22.5,22.5,22.5,0,22.5,10,548.0
1,36.0,23.8,23.8,23.8,0,23.8,5,615.0
1,37.0,25,25,25,0,25,0,720.0
1,38.0,23.8,5,23.8,0,23.8,23.8,550.0
1,39.0,22.5,10,22.5,0,22.5,22.5,539.0
1,40.0,16.7,33.3,16.7,0,16.7,16.7,532.0
1,41.0,23.8,23.8,5,0,23.8,23.8,438.0
1,42.0,22.5,22.5,10,0,22.5,22.5,476.0
1,43.0,21.3,21.3,15,0,21.3,21.3,510.0
1,44.0,16.7,16.7,33.3,0,16.7,16.7,617.0
1,45.0,25,25,25,0,0,25,712.0
1,46.0,23.8,23.8,23.8,0,5,23.8,665.0
1,47.0,22.5,22.5,22.5,0,10,22.5,587.0
1,48.0,21.3,21.3,21.3,0,15,21.3,558.0
1,49.0,16.7,16.7,16.7,0,33.3,16.7,510.0
1,50.0,15,28.3,28.3,0,28.3,0,655.0
1,51.0,20,26.7,26.7,0,26.7,0,695.0
1,52.0,40,20,20,0,20,0,775.0
1,53.0,5.7,18.9,18.9,18.9,18.9,18.9,185.0
1,54.0,13.8,17.2,17.2,17.2,17.2,17.2,273.0
1,55.0,20.6,15.9,15.9,15.9,15.9,15.9,475.0
1,56.0,26.5,14.7,14.7,14.7,14.7,14.7,558.0
1,57.0,23.1,15.4,15.4,15.4,15.4,15.4,510.0
1,58.0,31.5,13.7,13.7,13.7,13.7,13.7,603.0
1,59.0,33.3,13.3,13.3,13.3,13.3,13.3,625.0
1,60.0,35.9,12.8,12.8,12.8,12.8,12.8,655.0
1,61.0,37.5,12.5,12.5,12.5,12.5,12.5,735.0
1,62.0,2.4,24.4,24.4,0,24.4,24.4,118.0
1,63.0,9.1,22.7,22.7,0,22.7,22.7,127.0
1,64.0,14.9,21.3,21.3,0,21.3,21.3,338.0
1,65.0,16.7,20.8,20.8,0,20.8,20.8,382.0
1,66.0,18.4,20.4,20.4,0,20.4,20.4,527.0
1,67.0,23.1,19.2,19.2,0,19.2,19.2,479.0
1,68.0,31,17.2,17.2,0,17.2,17.2,482.0
1,69.0,14.3,42.9,0,14.3,14.3,14.3,166.0
1,70.0,20,20,0,20,20,20,536.0
1,71.0,23.8,4.8,0,23.8,23.8,23.8,531.0
1,72.0,22.2,11.1,0,22.2,22.2,22.2,545.0
1,73.0,18.2,27.3,0,18.2,18.2,18.2,366.0
1,74.0,16.7,33.3,0,16.7,16.7,16.7,249.0
1,75.0,5.9,23.5,23.5,0,23.5,23.5,110.0
1,76.0,8.6,22.9,22.9,0,22.9,22.9,131.0
1,77.0,15.8,21.1,21.1,0,21.1,21.1,388.0
1,78.0,17.9,20.5,20.5,0,20.5,20.5,538.0
1,79.0,23.8,19,19,0,19,19,487.0
1,80.0,3.8,0,19.2,19.2,19.2,38.5,162.0
1,81.0,5.7,0,18.9,18.9,18.9,37.7,170.0
1,82.0,7.4,0,18.5,18.5,18.5,37,200.0
1,83.0,9.1,0,18.2,18.2,18.2,36.4,238.0
1,84.0,10.7,0,17.9,17.9,17.9,35.7,278.0
1,85.0,12.3,0,17.5,17.5,17.5,35.1,290.0
1,86.0,13.8,0,17.2,17.2,17.2,34.5,315.0
1,87.0,15.3,0,16.9,16.9,16.9,33.9,339.0
1,88.0,16.7,0,16.7,16.7,16.7,33.3,392.0
1,89.0,19.4,0,16.1,16.1,16.1,32.3,521.0
1,90.0,23.1,0,15.4,15.4,15.4,30.8,546.0
1,91.0,24.2,0,15.2,15.2,15.2,30.3,550.0
1,92.0,26.5,0,14.7,14.7,14.7,29.4,544.0
1,93.0,28.6,0,14.3,14.3,14.3,28.6,567.0
1,94.0,30.6,0,13.9,13.9,13.9,27.8,576.0
1,95.0,33.3,0,13.3,13.3,13.3,26.7,593.0
1,96.0,20,0,20,20,20,20,479.0
1,97.0,21.7,0,21.7,21.7,21.7,13,494.0
1,98.0,20.8,0,20.8,20.8,20.8,16.7,486.0
1,99.0,19.2,0,19.2,19.2,19.2,23.1,408.0
1,100.0,18.5,0,18.5,18.5,18.5,25.9,370.0
1,101.0,16.7,16.7,16.7,8.3,16.7,25,358.0
1,102.0,20,20,20,10,10,20,586.0
1,103.0,16.7,16.7,25,8.3,16.7,16.7,601.0
1,104.0,15.4,30.8,15.4,7.7,15.4,15.4,295.0
1,105.0,22.2,22.2,0,11.1,22.2,22.2,584.0
1,106.0,15.4,15.4,15.4,7.7,15.4,30.8,310.0
1,107.0,16.7,25,16.7,8.3,16.7,16.7,451.0
1,108.0,20,20,10,10,20,20,546.0
1,109.0,15.4,15.4,30.8,7.7,15.4,15.4,607.0
1,110.0,16.7,16.7,16.7,8.3,25,16.7,537.0
1,111.0,15.4,15.4,15.4,7.7,30.8,15.4,514.0
1,112.0,20,20,20,10,20,10,604.0
1,113.0,22.2,22.2,22.2,11.1,22.2,0,639.0
1,114.0,22.2,0,22.2,11.1,22.2,22.2,534.0
1,115.0,30.8,15.4,15.4,7.7,15.4,15.4,609.0
1,116.0,20,10,20,10,20,20,551.0
1,117.0,11.1,0,22.2,22.2,22.2,22.2,382.0
1,118.0,27.3,0,18.2,18.2,18.2,18.2,573.0
1,119.0,33.3,0,16.7,16.7,16.7,16.7,651.0
1,120.0,7.7,30.8,0,0,30.8,30.8,135.0
1,121.0,14.3,28.6,0,0,28.6,28.6,205.0
1,122.0,20,26.7,0,0,26.7,26.7,380.0
1,123.0,8,17,17,8,17,33,280.0
1,124.0,23,15,23,8,15,16,580.0
1,125.0,16.7,0,55.6,0,0,27.8,371.0
1,126.0,11.8,0,29.4,0,44.1,14.7,450.0
1,127.0,6.3,0,31.3,0,46.9,15.6,304.0
1,128.0,38.5,15.4,15.4,0,15.4,15.4,695.0
1,129.0,42.9,14.3,14.3,0,14.3,14.3,740.0
1,130.0,9.1,18.2,18.2,18.2,18.2,18.2,207.0
1,131.0,28.6,14.3,14.3,14.3,14.3,14.3,576.0
1,132.0,20,20,20,20,0,20,415.0
1,133.0,25,16.7,16.7,8.3,16.7,16.7,602.0
1,134.0,0,20,20,20,20,20,155.0
1,135.0,0,25,25,0,25,25,139.0
1,136.0,25,25,0,0,25,25,430.0
1,137.0,20,20,20,0,20,20,516.0
1,138.0,43,6,33,6,6,6,764.0
1,139.0,42.9,14.3,7.1,7.1,7.1,21.4,591.0
1,140.0,42.9,21.4,7.1,7.1,7.1,14.3,701.0
1,141.0,40,13.3,6.7,13.3,20,6.7,768.0
1,142.0,46.2,15.4,7.7,7.7,15.4,7.7,702.0
1,143.0,42.9,14.3,14.3,7.1,7.1,14.3,720.0
1,144.0,42.9,7.1,14.3,7.1,14.3,14.3,694.0
1,145.0,7,0,23.3,0,23.3,46.5,149.0
1,146.0,11.1,0,22.2,0,22.2,44.4,229.0
1,147.0,13,0,28,22,6,31,459.0
1,148.0,12,0,31,21,5,31,469.0
1,149.0,12,0,31,20,5,32,483.0
1,150.0,10,0,35,25,5,25,472.0
1,151.0,10,0,35,26,5,24,454.0
1,152.0,10,0,35,24,5,26,441.0
1,153.0,11,0,29,29,5,26,495.0
1,154.0,11,0,28,29,7,25,477.0
1,155.0,11,0,28,27,6,28,469.0
